baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,gene_symbol,chr,DE_comparison
61.61,1.33,0.55,2.42,0.01567,0.09872,ENSG00000183036,PCP4,21,Bmet_Bpri
2155.38,7.28,1.15,6.31,0,0,ENSG00000183091,NEB,2,Bmet_Bpri
120.06,-1.58,0.43,-3.68,0.00023,0.00421,ENSG00000183153,GJD3,17,Bmet_Bpri
134.67,3.46,0.48,7.23,0,0,ENSG00000183691,NOG,17,Bmet_Bpri
476.28,2.39,0.38,6.32,0,0,ENSG00000183722,LHFPL6,13,Bmet_Bpri
125.41,1.79,0.41,4.39,1e-05,0.00035,ENSG00000183734,ASCL2,11,Bmet_Bpri
209.36,1.04,0.36,2.87,0.00404,0.0392,ENSG00000183762,KREMEN1,22,Bmet_Bpri
64.02,-2.11,0.56,-3.8,0.00014,0.00287,ENSG00000183798,EMILIN3,20,Bmet_Bpri
35.47,2.23,0.74,3.02,0.00252,0.02764,ENSG00000183873,SCN5A,3,Bmet_Bpri
253.4,-1.57,0.35,-4.42,1e-05,0.00031,ENSG00000184005,ST6GALNAC3,1,Bmet_Bpri
26.75,1.8,0.89,2.03,0.04211,0.18606,ENSG00000184113,CLDN5,22,Bmet_Bpri
57.36,1.32,0.57,2.3,0.02162,0.12229,ENSG00000184163,C1QTNF12,1,Bmet_Bpri
26.59,8.73,1.69,5.18,0,1e-05,ENSG00000184544,DHRS7C,17,Bmet_Bpri
865.6,1.96,0.24,8.15,0,0,ENSG00000184709,LRRC26,9,Bmet_Bpri
145.9,1.15,0.4,2.88,0.00393,0.03833,ENSG00000184785,SMIM10,X,Bmet_Bpri
150.99,1.69,0.38,4.44,1e-05,3e-04,ENSG00000184828,ZBTB7C,18,Bmet_Bpri
94.75,3.4,0.83,4.1,4e-05,0.00103,ENSG00000184937,WT1,11,Bmet_Bpri
25.43,1.83,0.85,2.17,0.03019,0.15192,ENSG00000185028,LRRC14B,5,Bmet_Bpri
383.13,3.51,0.31,11.18,0,0,ENSG00000185100,ADSSL1,14,Bmet_Bpri
66.58,-1.15,0.53,-2.18,0.02914,0.14879,ENSG00000185261,KIAA0825,5,Bmet_Bpri
3.75,5.9,2.7,2.19,0.02881,,ENSG00000185271,KLHL33,14,Bmet_Bpri
444.82,-1.46,0.26,-5.65,0,0,ENSG00000185305,ARL15,5,Bmet_Bpri
7.56,4.33,1.86,2.32,0.02016,,ENSG00000185313,SCN10A,3,Bmet_Bpri
81.14,2.41,0.55,4.38,1e-05,0.00037,ENSG00000185385,OR7A17,19,Bmet_Bpri
272.48,2.28,0.33,6.94,0,0,ENSG00000185482,STAC3,12,Bmet_Bpri
104.64,-1.27,0.47,-2.7,0.00685,0.05649,ENSG00000185518,SV2B,15,Bmet_Bpri
115.87,3.17,0.44,7.15,0,0,ENSG00000185532,PRKG1,10,Bmet_Bpri
14591.24,1.02,0.24,4.26,2e-05,0.00058,ENSG00000185559,DLK1,14,Bmet_Bpri
2496.23,1.24,0.22,5.54,0,0,ENSG00000185585,OLFML2A,9,Bmet_Bpri
72.19,3.33,0.58,5.78,0,0,ENSG00000185739,SRL,16,Bmet_Bpri
216.64,-1.04,0.33,-3.17,0.00154,0.01905,ENSG00000185745,IFIT1,10,Bmet_Bpri
37.97,1.61,0.73,2.21,0.02679,0.14162,ENSG00000185761,ADAMTSL5,19,Bmet_Bpri
139.64,-1.19,0.47,-2.52,0.01164,0.08131,ENSG00000185885,IFITM1,11,Bmet_Bpri
235.96,1.09,0.32,3.46,0.00054,0.00839,ENSG00000186281,GPAT2,2,Bmet_Bpri
141.51,9.7,1.47,6.62,0,0,ENSG00000186439,TRDN,6,Bmet_Bpri
9.27,-5.87,2,-2.93,0.00334,,ENSG00000186910,SERPINA11,14,Bmet_Bpri
470.68,1.14,0.26,4.41,1e-05,0.00032,ENSG00000187091,PLCD1,3,Bmet_Bpri
57.03,1.37,0.58,2.36,0.01836,0.10968,ENSG00000187140,FOXD3,1,Bmet_Bpri
2677.17,1.03,0.19,5.35,0,1e-05,ENSG00000187244,BCAM,19,Bmet_Bpri
189.69,3.22,0.48,6.74,0,0,ENSG00000187479,C11orf96,11,Bmet_Bpri
1792.69,2.38,0.26,9.14,0,0,ENSG00000187498,COL4A1,13,Bmet_Bpri
46.43,1.87,0.66,2.83,0.00471,0.04374,ENSG00000187513,GJA4,1,Bmet_Bpri
18.94,8.24,1.91,4.3,2e-05,0.00049,ENSG00000187616,MYMK,9,Bmet_Bpri
135.28,1.26,0.4,3.14,0.00172,0.0208,ENSG00000187642,PERM1,1,Bmet_Bpri
9.81,-4.92,1.75,-2.81,0.00491,,ENSG00000187772,LIN28B,6,Bmet_Bpri
52.08,1.61,0.65,2.47,0.01345,0.08942,ENSG00000187800,PEAR1,1,Bmet_Bpri
568.74,2.3,0.34,6.71,0,0,ENSG00000187942,LDLRAD2,1,Bmet_Bpri
17.12,2.61,1.05,2.47,0.01339,0.08923,ENSG00000188037,CLCN1,7,Bmet_Bpri
410.53,1.59,0.31,5.17,0,1e-05,ENSG00000188064,WNT7B,22,Bmet_Bpri
29.43,3.06,0.91,3.38,0.00073,0.01059,ENSG00000188629,ZNF177,19,Bmet_Bpri
29.62,2.02,0.81,2.5,0.01228,0.08384,ENSG00000188778,ADRB3,8,Bmet_Bpri
1050.9,1.48,0.29,5.03,0,2e-05,ENSG00000188783,PRELP,1,Bmet_Bpri
1050.14,1.49,0.22,6.63,0,0,ENSG00000188833,ENTPD8,9,Bmet_Bpri
14557.14,-1.2,0.21,-5.66,0,0,ENSG00000189043,NDUFA4,7,Bmet_Bpri
56.42,1.83,0.64,2.88,0.00398,0.03875,ENSG00000189233,NUGGC,8,Bmet_Bpri
842.91,8.82,0.49,17.92,0,0,ENSG00000196091,MYBPC1,12,Bmet_Bpri
264.27,-1.08,0.37,-2.91,0.00361,0.03614,ENSG00000196116,TDRD7,9,Bmet_Bpri
35.86,1.51,0.74,2.04,0.04125,0.1842,ENSG00000196132,MYT1,20,Bmet_Bpri
3963.6,-2,0.22,-9.26,0,0,ENSG00000196136,SERPINA3,14,Bmet_Bpri
978.91,4.21,0.28,14.85,0,0,ENSG00000196218,RYR1,19,Bmet_Bpri
268.34,1.01,0.39,2.6,0.00942,0.07018,ENSG00000196275,GTF2IRD2,7,Bmet_Bpri
11068.62,6.64,0.26,25.56,0,0,ENSG00000196296,ATP2A1,16,Bmet_Bpri
2210.54,-1.26,0.19,-6.47,0,0,ENSG00000196363,WDR5,9,Bmet_Bpri
3495.09,1.3,0.24,5.32,0,1e-05,ENSG00000196408,NOXO1,16,Bmet_Bpri
11.95,3.22,1.34,2.41,0.01606,,ENSG00000196557,CACNA1H,16,Bmet_Bpri
1401.18,1.43,0.25,5.62,0,0,ENSG00000196628,TCF4,18,Bmet_Bpri
92.84,1.58,0.5,3.14,0.00168,0.02047,ENSG00000196666,FAM180B,11,Bmet_Bpri
926.99,1.06,0.27,3.97,7e-05,0.00164,ENSG00000196792,STRN3,14,Bmet_Bpri
37.12,5.45,1.16,4.7,0,1e-04,ENSG00000196811,CHRNG,2,Bmet_Bpri
1637.26,1.08,0.23,4.77,0,8e-05,ENSG00000196923,PDLIM7,5,Bmet_Bpri
3465.8,1.26,0.2,6.42,0,0,ENSG00000197043,ANXA6,5,Bmet_Bpri
120.41,1.7,0.47,3.6,0.00032,0.00541,ENSG00000197245,FAM110D,1,Bmet_Bpri
24.44,5.16,1.24,4.16,3e-05,0.00086,ENSG00000197406,DIO3,14,Bmet_Bpri
96.18,1.42,0.52,2.75,0.00605,0.05208,ENSG00000197457,STMN3,20,Bmet_Bpri
40.99,1.91,0.68,2.82,0.00475,0.04392,ENSG00000197467,COL13A1,10,Bmet_Bpri
1046.54,8.97,1.17,7.66,0,0,ENSG00000197616,MYH6,14,Bmet_Bpri
4274.57,-1.07,0.22,-4.85,0,5e-05,ENSG00000197632,SERPINB2,18,Bmet_Bpri
229.6,1.33,0.34,3.87,0.00011,0.00226,ENSG00000197766,CFD,19,Bmet_Bpri
494.95,8.52,0.61,14.07,0,0,ENSG00000197893,NRAP,10,Bmet_Bpri
139.55,-2.04,0.39,-5.19,0,1e-05,ENSG00000198121,LPAR1,9,Bmet_Bpri
990.68,-1.11,0.28,-4.01,6e-05,0.00146,ENSG00000198146,ZNF770,15,Bmet_Bpri
