baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,gene_symbol,chr,DE_comparison
1588.59,1.12,0.35,3.24,0.00121,0.02879,ENSG00000002933,TMEM176A,7,Amet_Apri
1745.97,1.19,0.3,3.99,7e-05,0.00614,ENSG00000003989,SLC7A2,8,Amet_Apri
49.49,6.99,1.86,3.76,0.00017,,ENSG00000006788,MYH13,17,Amet_Apri
37.47,8.04,1.6,5.03,0,,ENSG00000007001,UPP2,2,Amet_Apri
279.12,1.9,0.55,3.49,0.00049,0.01723,ENSG00000008086,CDKL5,X,Amet_Apri
278.62,2.31,0.38,6.07,0,0,ENSG00000008196,TFAP2B,6,Amet_Apri
60.66,1.18,0.58,2.05,0.03998,,ENSG00000008277,ADAM22,7,Amet_Apri
261.5,1.26,0.39,3.21,0.00132,0.0302,ENSG00000008311,AASS,7,Amet_Apri
28.78,1.65,0.8,2.06,0.03949,,ENSG00000011201,ANOS1,X,Amet_Apri
306.25,1.33,0.32,4.11,4e-05,0.00422,ENSG00000020577,SAMD4A,14,Amet_Apri
617.84,1.91,0.52,3.69,0.00023,0.01135,ENSG00000022267,FHL1,X,Amet_Apri
3380.39,1.06,0.26,4.03,6e-05,0.00541,ENSG00000023516,AKAP11,13,Amet_Apri
208.6,-1.11,0.35,-3.19,0.00142,0.03108,ENSG00000023892,DEF6,6,Amet_Apri
24,4.31,1.44,2.99,0.00276,,ENSG00000037749,MFAP3,5,Amet_Apri
154.5,1.04,0.41,2.52,0.01162,,ENSG00000039139,DNAH5,5,Amet_Apri
802.28,1.09,0.43,2.54,0.01118,0.08458,ENSG00000039560,RAI14,5,Amet_Apri
2277.68,1,0.26,3.83,0.00013,0.0082,ENSG00000041353,RAB27B,18,Amet_Apri
81.65,1.62,0.56,2.89,0.00382,,ENSG00000044524,EPHA3,3,Amet_Apri
570.1,1.23,0.31,4,6e-05,0.00588,ENSG00000047365,ARAP2,4,Amet_Apri
109.98,1.05,0.45,2.31,0.02113,,ENSG00000048540,LMO3,12,Amet_Apri
253.29,1.3,0.55,2.37,0.01769,0.10571,ENSG00000048740,CELF2,10,Amet_Apri
123.93,1.25,0.61,2.07,0.03889,,ENSG00000049192,ADAMTS6,5,Amet_Apri
2482.13,1.22,0.32,3.79,0.00015,0.00894,ENSG00000058668,ATP2B4,1,Amet_Apri
155.95,1.28,0.44,2.94,0.00331,,ENSG00000058866,DGKG,3,Amet_Apri
369.47,1.21,0.61,1.99,0.04706,0.17593,ENSG00000060718,COL11A1,1,Amet_Apri
4242.7,1.02,0.28,3.68,0.00023,0.01135,ENSG00000060749,QSER1,11,Amet_Apri
107.53,-1.46,0.58,-2.54,0.01101,,ENSG00000061656,SPAG4,20,Amet_Apri
1745.62,1.11,0.25,4.49,1e-05,0.00141,ENSG00000061987,MON2,12,Amet_Apri
108.44,1.68,0.58,2.88,0.004,,ENSG00000063587,ZNF275,X,Amet_Apri
118.91,1.01,0.43,2.35,0.01889,,ENSG00000063601,MTMR1,X,Amet_Apri
2012,1.03,0.24,4.22,2e-05,0.00325,ENSG00000065243,PKN2,1,Amet_Apri
725.91,1.07,0.29,3.64,0.00028,0.0127,ENSG00000068366,ACSL4,X,Amet_Apri
70.81,2.3,0.61,3.79,0.00015,,ENSG00000068781,STON1-GTF2A1L,2,Amet_Apri
9226.94,1.06,0.36,2.95,0.00315,0.04556,ENSG00000068878,PSME4,2,Amet_Apri
163.74,1.46,0.61,2.38,0.01716,0.10425,ENSG00000068976,PYGM,11,Amet_Apri
9.2,6.02,2,3.01,0.00263,,ENSG00000069122,ADGRF5,6,Amet_Apri
743.41,1.39,0.49,2.82,0.00474,0.05598,ENSG00000069869,NEDD4,15,Amet_Apri
992.61,1.02,0.37,2.75,0.00594,0.06269,ENSG00000070882,OSBPL3,7,Amet_Apri
752.7,1.18,0.31,3.85,0.00012,0.00777,ENSG00000071073,MGAT4A,2,Amet_Apri
82.95,1.72,0.52,3.3,0.00095,,ENSG00000071909,MYO3B,2,Amet_Apri
12.69,6.48,1.85,3.5,0.00047,,ENSG00000072133,RPS6KA6,X,Amet_Apri
145.03,1.91,0.61,3.14,0.00171,,ENSG00000072840,EVC,4,Amet_Apri
96.51,1.42,0.55,2.6,0.00943,,ENSG00000076641,PAG1,8,Amet_Apri
840.66,1.1,0.36,3.08,0.00205,0.03641,ENSG00000076770,MBNL3,X,Amet_Apri
1228.16,-1.38,0.32,-4.3,2e-05,0.00273,ENSG00000077274,CAPN6,X,Amet_Apri
153.56,2.84,0.82,3.47,0.00052,,ENSG00000077522,ACTN2,1,Amet_Apri
91.63,1.22,0.47,2.63,0.00846,,ENSG00000077616,NAALAD2,11,Amet_Apri
44.51,1.51,0.7,2.16,0.03065,,ENSG00000077943,ITGA8,10,Amet_Apri
19.35,7.09,1.99,3.56,0.00037,,ENSG00000078328,RBFOX1,16,Amet_Apri
32.01,1.95,0.96,2.03,0.04235,,ENSG00000078549,ADCYAP1R1,7,Amet_Apri
309.94,2.22,0.45,4.95,0,0.00035,ENSG00000079215,SLC1A3,5,Amet_Apri
8283.94,1.01,0.43,2.36,0.0182,0.10756,ENSG00000080603,SRCAP,16,Amet_Apri
471.32,1.46,0.49,2.97,0.00299,0.04426,ENSG00000081189,MEF2C,5,Amet_Apri
55.27,3.74,1.12,3.35,0.00082,,ENSG00000081248,CACNA1S,1,Amet_Apri
286.71,-2.27,0.6,-3.77,0.00016,0.00965,ENSG00000081913,PHLPP1,18,Amet_Apri
1021.66,1.04,0.37,2.79,0.00529,0.05938,ENSG00000083312,TNPO1,5,Amet_Apri
1352.67,1.24,0.33,3.73,0.00019,0.01043,ENSG00000086570,FAT2,5,Amet_Apri
413.75,1.02,0.28,3.6,0.00032,0.01403,ENSG00000086619,ERO1B,1,Amet_Apri
51.47,-1.64,0.76,-2.15,0.03118,,ENSG00000087303,NID2,14,Amet_Apri
55.33,2.04,0.63,3.24,0.00119,,ENSG00000087495,PHACTR3,20,Amet_Apri
241.19,-1.09,0.34,-3.2,0.00139,0.03096,ENSG00000088002,SULT2B1,19,Amet_Apri
126.78,-1.28,0.49,-2.6,0.00939,,ENSG00000088320,REM1,20,Amet_Apri
494.91,1.81,0.37,4.84,0,0.00057,ENSG00000089902,RCOR1,14,Amet_Apri
343.44,-1.05,0.38,-2.77,0.00562,0.06094,ENSG00000090339,ICAM1,19,Amet_Apri
1169.44,1,0.32,3.11,0.00189,0.03514,ENSG00000090975,PITPNM2,12,Amet_Apri
2194.79,-1.07,0.39,-2.73,0.00628,0.06478,ENSG00000091513,TF,3,Amet_Apri
178.99,1.48,0.42,3.57,0.00036,0.01459,ENSG00000091831,ESR1,6,Amet_Apri
247.44,1.15,0.32,3.57,0.00036,0.01459,ENSG00000091844,RGS17,6,Amet_Apri
30.52,7.75,1.86,4.17,3e-05,,ENSG00000092054,MYH7,14,Amet_Apri
2027.21,1.28,0.37,3.49,0.00049,0.01723,ENSG00000094963,FMO2,1,Amet_Apri
368.07,1.11,0.27,4.08,4e-05,0.00452,ENSG00000096968,JAK2,9,Amet_Apri
309.71,1.19,0.4,2.93,0.00335,0.04692,ENSG00000097096,SYDE2,1,Amet_Apri
1491.95,-1.08,0.38,-2.84,0.00457,0.05509,ENSG00000099795,NDUFB7,19,Amet_Apri
10.91,6.27,1.95,3.22,0.00129,,ENSG00000100362,PVALB,22,Amet_Apri
365.23,1.11,0.37,2.97,0.00297,0.04407,ENSG00000100578,KIAA0586,14,Amet_Apri
1828.79,1.04,0.26,3.94,8e-05,0.00672,ENSG00000100697,DICER1,14,Amet_Apri
2706.71,1.05,0.24,4.46,1e-05,0.00155,ENSG00000100852,ARHGAP5,14,Amet_Apri
629.26,1.07,0.31,3.45,0.00056,0.01857,ENSG00000100934,SEC23A,14,Amet_Apri
880.06,-1.12,0.24,-4.57,0,0.00106,ENSG00000100979,PLTP,20,Amet_Apri
1000.72,-3.04,0.27,-11.13,0,0,ENSG00000101439,CST3,20,Amet_Apri
52.19,3.99,1,4,6e-05,,ENSG00000101470,TNNC2,20,Amet_Apri
960.08,-1.14,0.39,-2.93,0.00337,0.04701,ENSG00000101670,LIPG,18,Amet_Apri
152.21,1.39,0.53,2.64,0.00826,,ENSG00000101850,GPR143,X,Amet_Apri
40.05,1.58,0.72,2.19,0.02817,,ENSG00000101916,TLR8,X,Amet_Apri
140.7,1.29,0.48,2.69,0.00717,,ENSG00000102098,SCML2,X,Amet_Apri
1997.2,1.03,0.27,3.86,0.00011,0.00777,ENSG00000102189,EEA1,12,Amet_Apri
447.43,1.03,0.27,3.74,0.00019,0.01043,ENSG00000102218,RP2,X,Amet_Apri
6826.95,1.21,0.21,5.8,0,1e-05,ENSG00000102837,OLFM4,13,Amet_Apri
2620.13,1.26,0.25,5.08,0,0.00023,ENSG00000102908,NFAT5,16,Amet_Apri
99.29,1.34,0.56,2.4,0.01628,,ENSG00000103534,TMC5,16,Amet_Apri
973.66,1,0.3,3.38,0.00072,0.02168,ENSG00000103540,CCP110,16,Amet_Apri
114.73,1.04,0.49,2.11,0.0346,,ENSG00000103546,SLC6A2,16,Amet_Apri
147.72,-1.57,0.45,-3.45,0.00056,,ENSG00000104368,PLAT,8,Amet_Apri
10310.6,1.11,0.31,3.59,0.00033,0.01415,ENSG00000104447,TRPS1,8,Amet_Apri
808.06,1.12,0.38,2.94,0.00325,0.04632,ENSG00000104687,GSR,8,Amet_Apri
122.05,-1.09,0.52,-2.12,0.03396,,ENSG00000104808,DHDH,19,Amet_Apri
132.99,4.36,0.91,4.8,0,,ENSG00000104879,CKM,19,Amet_Apri
212.72,-1.08,0.48,-2.26,0.02377,0.12243,ENSG00000104953,TLE6,19,Amet_Apri
1494.18,-1.05,0.37,-2.83,0.00466,0.05538,ENSG00000104979,C19orf53,19,Amet_Apri
15368.04,-1.05,0.35,-3,0.00267,0.04162,ENSG00000105193,RPS16,19,Amet_Apri
219.93,-1.08,0.42,-2.59,0.00964,0.07896,ENSG00000105219,CNTD2,19,Amet_Apri
67.5,-1.43,0.64,-2.25,0.02454,,ENSG00000105427,CNFN,19,Amet_Apri
1059.24,-1.18,0.29,-4.02,6e-05,0.00561,ENSG00000105655,ISYNA1,19,Amet_Apri
49.94,2.2,0.93,2.37,0.01789,,ENSG00000105664,COMP,19,Amet_Apri
1954.23,1.08,0.22,4.79,0,0.00062,ENSG00000105855,ITGB8,7,Amet_Apri
22.25,2.08,0.98,2.12,0.03428,,ENSG00000106006,HOXA6,7,Amet_Apri
24.64,1.7,0.85,2,0.04528,,ENSG00000106113,CRHR2,7,Amet_Apri
732.56,1.14,0.26,4.36,1e-05,0.00216,ENSG00000106546,AHR,7,Amet_Apri
2291.5,1.06,0.33,3.23,0.00122,0.02879,ENSG00000106565,TMEM176B,7,Amet_Apri
177.23,-1.18,0.48,-2.46,0.01386,0.09484,ENSG00000106714,CNTNAP3,9,Amet_Apri
47.12,1.43,0.66,2.16,0.03089,,ENSG00000106823,ECM2,9,Amet_Apri
36.17,-4.47,1.15,-3.87,0.00011,,ENSG00000107159,CA9,9,Amet_Apri
215.79,1.67,0.64,2.59,0.00958,0.07882,ENSG00000107201,DDX58,9,Amet_Apri
196.55,-1.15,0.58,-1.98,0.04746,0.17696,ENSG00000107742,SPOCK2,10,Amet_Apri
44.38,1.37,0.63,2.17,0.02968,,ENSG00000107954,NEURL1,10,Amet_Apri
84.04,1.9,0.61,3.12,0.00182,,ENSG00000108001,EBF3,10,Amet_Apri
7169.07,1.09,0.23,4.66,0,0.00081,ENSG00000108256,NUFIP2,17,Amet_Apri
2027.02,-4.62,0.44,-10.55,0,0,ENSG00000108679,LGALS3BP,17,Amet_Apri
592.89,12.02,3.71,3.24,0.00119,0.02868,ENSG00000109061,MYH1,17,Amet_Apri
1623.62,1.6,0.25,6.44,0,0,ENSG00000110172,CHORDC1,11,Amet_Apri
15555.01,-1.05,0.33,-3.22,0.0013,0.02967,ENSG00000110492,MDK,11,Amet_Apri
697.3,1.45,0.44,3.33,0.00088,0.02439,ENSG00000110723,EXPH5,11,Amet_Apri
831.53,-1.08,0.33,-3.29,0.001,0.02635,ENSG00000111319,SCNN1A,12,Amet_Apri
1121.89,-1.2,0.37,-3.23,0.00125,0.02935,ENSG00000111678,C12orf57,12,Amet_Apri
397.93,1.04,0.32,3.24,0.00118,0.02868,ENSG00000111727,HCFC2,12,Amet_Apri
134.95,1.36,0.39,3.44,0.00058,,ENSG00000111837,MAK,6,Amet_Apri
972.89,1.12,0.24,4.69,0,0.00076,ENSG00000112186,CAP2,6,Amet_Apri
344.65,1.04,0.28,3.64,0.00027,0.0125,ENSG00000112218,GPR63,6,Amet_Apri
1885.62,-1.02,0.33,-3.09,0.00198,0.03573,ENSG00000112667,DNPH1,6,Amet_Apri
114.46,1.11,0.44,2.49,0.01271,,ENSG00000112706,IMPG1,6,Amet_Apri
15.92,2.86,1.35,2.12,0.03385,,ENSG00000112782,CLIC5,6,Amet_Apri
506.59,1.1,0.31,3.56,0.00037,0.01468,ENSG00000112837,TBX18,6,Amet_Apri
258.44,1.4,0.45,3.09,0.00198,0.03569,ENSG00000112893,MAN2A1,5,Amet_Apri
159.69,-2.51,0.54,-4.66,0,,ENSG00000113319,RASGRF2,5,Amet_Apri
73.66,1.05,0.52,2.01,0.04448,,ENSG00000113532,ST8SIA4,5,Amet_Apri
1042.53,1.04,0.27,3.92,9e-05,0.00703,ENSG00000113580,NR3C1,5,Amet_Apri
1112.53,1.03,0.27,3.8,0.00014,0.00889,ENSG00000113615,SEC24A,5,Amet_Apri
1651.56,1.05,0.27,3.92,9e-05,0.00703,ENSG00000114127,XRN1,3,Amet_Apri
1330.89,1.16,0.37,3.14,0.00171,0.03355,ENSG00000114450,GNB4,3,Amet_Apri
476.83,1.61,0.36,4.44,1e-05,0.00161,ENSG00000114670,NEK11,3,Amet_Apri
341.26,1.28,0.53,2.42,0.01548,0.09952,ENSG00000114853,ZBTB47,3,Amet_Apri
16809.64,-1.01,0.38,-2.7,0.00692,0.06814,ENSG00000115268,RPS15,19,Amet_Apri
2237.12,1.07,0.21,5.12,0,0.00023,ENSG00000115339,GALNT3,2,Amet_Apri
436.76,-1.74,0.39,-4.53,1e-05,0.00125,ENSG00000115457,IGFBP2,2,Amet_Apri
100.53,-1.11,0.47,-2.34,0.01924,,ENSG00000115525,ST3GAL5,2,Amet_Apri
164.68,1.12,0.46,2.43,0.01491,0.09822,ENSG00000115896,PLCL1,2,Amet_Apri
3731.31,1.14,0.29,3.95,8e-05,0.00672,ENSG00000115904,SOS1,2,Amet_Apri
2082.06,1.06,0.27,4,6e-05,0.00594,ENSG00000115966,ATF2,2,Amet_Apri
39.29,2.77,0.94,2.95,0.00313,,ENSG00000116194,ANGPTL1,1,Amet_Apri
2857.98,1.19,0.26,4.58,0,0.00106,ENSG00000116406,EDEM3,1,Amet_Apri
11883.16,1.05,0.32,3.32,9e-04,0.02451,ENSG00000116539,ASH1L,1,Amet_Apri
297.71,1.22,0.32,3.85,0.00012,0.00777,ENSG00000116675,DNAJC6,1,Amet_Apri
18.4,7.02,1.75,4,6e-05,,ENSG00000116690,PRG4,1,Amet_Apri
8.35,5.88,2.24,2.63,0.00854,,ENSG00000116748,AMPD1,1,Amet_Apri
1023.22,1.13,0.26,4.44,1e-05,0.00161,ENSG00000117533,VAMP4,1,Amet_Apri
1645.09,1.04,0.22,4.66,0,0.00081,ENSG00000117620,SLC35A3,1,Amet_Apri
104.9,1.04,0.51,2.02,0.04359,,ENSG00000117707,PROX1,1,Amet_Apri
92.78,1,0.45,2.24,0.02531,,ENSG00000118596,SLC16A7,12,Amet_Apri
52.35,1.2,0.6,1.99,0.04703,,ENSG00000118733,OLFM3,1,Amet_Apri
220.11,1.1,0.37,2.97,0.00299,0.04428,ENSG00000119508,NR4A3,9,Amet_Apri
200.08,1.81,0.38,4.78,0,0.00062,ENSG00000119547,ONECUT2,18,Amet_Apri
175.19,1.16,0.38,3.07,0.00217,0.03725,ENSG00000119737,GPR75,2,Amet_Apri
34.44,-1.9,0.92,-2.07,0.03863,,ENSG00000119938,PPP1R3C,10,Amet_Apri
4189.07,1,0.29,3.4,0.00067,0.02044,ENSG00000120137,PANK3,5,Amet_Apri
68.71,1.88,0.7,2.7,0.00693,,ENSG00000120322,PCDHB8,5,Amet_Apri
8324.46,1.21,0.25,4.74,0,0.00065,ENSG00000120694,HSPH1,13,Amet_Apri
911.48,1.1,0.25,4.46,1e-05,0.00155,ENSG00000121274,PAPD5,16,Amet_Apri
128.08,1.57,0.59,2.65,0.00803,,ENSG00000122367,LDB3,10,Amet_Apri
1366.24,1.17,0.25,4.64,0,0.00085,ENSG00000122435,TRMT13,1,Amet_Apri
854.51,1.01,0.25,4.1,4e-05,0.00435,ENSG00000122591,FAM126A,7,Amet_Apri
223.78,1.27,0.4,3.16,0.00156,0.03241,ENSG00000123096,SSPN,12,Amet_Apri
723.84,1.27,0.32,3.97,7e-05,0.00648,ENSG00000123552,USP45,6,Amet_Apri
339.06,-1.23,0.31,-4,6e-05,0.00588,ENSG00000124102,PI3,20,Amet_Apri
278.52,1.02,0.36,2.88,0.00403,0.05245,ENSG00000124406,ATP8A1,4,Amet_Apri
81.52,-1.79,0.62,-2.86,0.00418,,ENSG00000125148,MT2A,16,Amet_Apri
129.28,8.37,2.72,3.08,0.00209,,ENSG00000125414,MYH2,17,Amet_Apri
497.76,1.14,0.42,2.69,0.00717,0.06946,ENSG00000125447,GGA3,17,Amet_Apri
51.17,2.03,0.73,2.78,0.00546,,ENSG00000125551,PLGLB2,2,Amet_Apri
2507.51,-1.12,0.37,-3.06,0.00218,0.03737,ENSG00000125743,SNRPD2,19,Amet_Apri
687.41,1.01,0.35,2.89,0.00387,0.0511,ENSG00000125885,MCM8,20,Amet_Apri
472.35,-1.05,0.45,-2.36,0.01828,0.10795,ENSG00000125995,ROMO1,20,Amet_Apri
2163.01,-1.08,0.41,-2.63,0.00862,0.07528,ENSG00000126267,COX6B1,19,Amet_Apri
170.64,1.17,0.45,2.58,0.00999,0.08036,ENSG00000126821,SGPP1,14,Amet_Apri
129.42,-1.27,0.58,-2.17,0.03018,,ENSG00000127252,HRASLS,3,Amet_Apri
8.17,-4.32,1.95,-2.22,0.02668,,ENSG00000127920,GNG11,7,Amet_Apri
816.12,-1.17,0.46,-2.57,0.01025,0.08064,ENSG00000128271,ADORA2A,22,Amet_Apri
307.07,1.9,0.68,2.78,0.00548,0.0602,ENSG00000128591,FLNC,7,Amet_Apri
1144.66,1.32,0.39,3.42,0.00063,0.0199,ENSG00000128915,ICE2,15,Amet_Apri
113.61,3.78,0.82,4.61,0,,ENSG00000128918,ALDH1A2,15,Amet_Apri
1501.54,1.01,0.27,3.75,0.00018,0.01007,ENSG00000129003,VPS13C,15,Amet_Apri
28.51,6.19,1.83,3.38,0.00072,,ENSG00000129170,CSRP3,11,Amet_Apri
778.03,1.28,0.3,4.26,2e-05,0.003,ENSG00000129317,PUS7L,12,Amet_Apri
449.03,-1.19,0.53,-2.25,0.0243,0.12381,ENSG00000129521,EGLN3,14,Amet_Apri
291.71,1.15,0.4,2.89,0.00387,0.0511,ENSG00000129675,ARHGEF6,X,Amet_Apri
242.69,-1.78,0.5,-3.55,0.00038,0.015,ENSG00000129951,PLPPR3,19,Amet_Apri
10332.04,-1.18,0.44,-2.69,0.00719,0.06952,ENSG00000130255,RPL36,19,Amet_Apri
17.75,2.24,1.03,2.17,0.03021,,ENSG00000130377,ACSBG2,19,Amet_Apri
297.91,-1.27,0.3,-4.26,2e-05,0.003,ENSG00000130513,GDF15,19,Amet_Apri
143.65,6.51,2.13,3.05,0.00228,,ENSG00000130595,TNNT3,11,Amet_Apri
73.1,4.16,0.93,4.49,1e-05,,ENSG00000130598,TNNI2,11,Amet_Apri
69.38,-1.2,0.51,-2.35,0.01898,,ENSG00000130876,SLC7A10,19,Amet_Apri
957.24,-1.16,0.4,-2.91,0.00356,0.04879,ENSG00000131495,NDUFA2,5,Amet_Apri
166.98,1.11,0.36,3.1,0.00194,0.03537,ENSG00000131634,TMEM204,16,Amet_Apri
3996.37,1.07,0.32,3.32,0.00091,0.02451,ENSG00000132549,VPS13B,8,Amet_Apri
59.42,8.71,4.39,1.98,0.04724,,ENSG00000133020,MYH8,17,Amet_Apri
82.1,1.85,0.73,2.53,0.01151,,ENSG00000133055,MYBPH,1,Amet_Apri
31.27,2.39,0.96,2.5,0.01254,,ENSG00000133083,DCLK1,13,Amet_Apri
2313.91,1.02,0.28,3.64,0.00027,0.01253,ENSG00000134318,ROCK2,2,Amet_Apri
60.26,2.25,0.86,2.62,0.00871,,ENSG00000134817,APLNR,11,Amet_Apri
1474.35,-1.08,0.4,-2.72,0.00648,0.06567,ENSG00000134825,TMEM258,11,Amet_Apri
211.28,1.68,0.52,3.24,0.00119,0.02868,ENSG00000135679,MDM2,12,Amet_Apri
1168.78,-1.06,0.45,-2.37,0.0176,0.1054,ENSG00000135744,AGT,1,Amet_Apri
140.31,1.36,0.58,2.35,0.01868,,ENSG00000135905,DOCK10,2,Amet_Apri
64.65,1.76,0.83,2.11,0.03502,,ENSG00000136546,SCN7A,2,Amet_Apri
14732.03,-1.17,0.4,-2.88,0.00398,0.05201,ENSG00000136942,RPL35,9,Amet_Apri
374.43,1.16,0.34,3.45,0.00057,0.01858,ENSG00000136944,LMX1B,9,Amet_Apri
201.32,1.92,0.4,4.81,0,0.00062,ENSG00000137033,IL33,9,Amet_Apri
1710.55,1.18,0.36,3.27,0.00107,0.02712,ENSG00000137145,DENND4C,9,Amet_Apri
2133,-1.35,0.39,-3.41,0.00064,0.01999,ENSG00000137331,IER3,6,Amet_Apri
282.2,2.1,0.35,6.01,0,0,ENSG00000137558,PI15,8,Amet_Apri
1112.12,1.09,0.35,3.1,0.00196,0.0356,ENSG00000137802,MAPKBP1,15,Amet_Apri
415.87,1.01,0.42,2.42,0.01551,0.09952,ENSG00000137812,KNL1,15,Amet_Apri
464.65,-1.2,0.33,-3.59,0.00033,0.01415,ENSG00000137868,STRA6,15,Amet_Apri
940.33,1.28,0.24,5.46,0,5e-05,ENSG00000137941,TTLL7,1,Amet_Apri
40.88,1.34,0.66,2.04,0.04141,,ENSG00000138379,MSTN,2,Amet_Apri
370.85,1.08,0.38,2.81,0.005,0.05762,ENSG00000138411,HECW2,2,Amet_Apri
70.92,3.49,0.9,3.89,1e-04,,ENSG00000138435,CHRNA1,2,Amet_Apri
531.46,1.01,0.31,3.28,0.00103,0.02659,ENSG00000138641,HERC3,4,Amet_Apri
528.93,1.35,0.45,3.01,0.0026,0.04133,ENSG00000138758,SEPT11,4,Amet_Apri
242.92,1.5,0.59,2.53,0.01144,0.08538,ENSG00000138767,CNOT6L,4,Amet_Apri
166.61,1.15,0.41,2.79,0.00534,0.05958,ENSG00000139133,ALG10,12,Amet_Apri
1713.6,1.02,0.21,4.8,0,0.00062,ENSG00000139324,TMTC3,12,Amet_Apri
2138.51,1.02,0.27,3.86,0.00012,0.00777,ENSG00000139687,RB1,13,Amet_Apri
437.23,1.46,0.39,3.7,0.00021,0.01102,ENSG00000140199,SLC12A6,15,Amet_Apri
1355.98,1.08,0.28,3.89,1e-04,0.00746,ENSG00000140848,CPNE2,16,Amet_Apri
82.37,1,0.47,2.12,0.03361,,ENSG00000141449,GREB1L,18,Amet_Apri
15.73,-2.64,1.23,-2.14,0.032,,ENSG00000142698,C1orf94,1,Amet_Apri
59.78,2.93,0.88,3.34,0.00085,,ENSG00000143318,CASQ1,1,Amet_Apri
595.65,1.86,0.51,3.64,0.00028,0.0127,ENSG00000143632,ACTA1,1,Amet_Apri
1495.82,1.22,0.26,4.72,0,0.00068,ENSG00000143669,LYST,1,Amet_Apri
62.64,1.08,0.55,1.96,0.05,,ENSG00000143858,SYT2,1,Amet_Apri
2169.85,1.18,0.34,3.49,0.00048,0.01695,ENSG00000143970,ASXL2,2,Amet_Apri
542.74,1.62,0.39,4.16,3e-05,0.00383,ENSG00000144426,NBEAL1,2,Amet_Apri
780.44,1.03,0.26,3.97,7e-05,0.00644,ENSG00000144445,KANSL1L,2,Amet_Apri
833.49,1.05,0.48,2.21,0.02745,0.13164,ENSG00000144810,COL8A1,3,Amet_Apri
238.27,1.02,0.52,1.96,0.04995,0.1808,ENSG00000144824,PHLDB2,3,Amet_Apri
755.72,1,0.26,3.85,0.00012,0.00777,ENSG00000145416,MARCH1,4,Amet_Apri
1725.18,-1.04,0.38,-2.75,0.00599,0.06294,ENSG00000145494,NDUFS6,5,Amet_Apri
18190.81,-1.05,0.36,-2.94,0.00332,0.04678,ENSG00000145592,RPL37,5,Amet_Apri
431.05,1.01,0.36,2.85,0.00444,0.05444,ENSG00000145623,OSMR,5,Amet_Apri
1585.46,1.16,0.3,3.94,8e-05,0.00672,ENSG00000145734,BDP1,5,Amet_Apri
2780.14,1.16,0.25,4.75,0,0.00064,ENSG00000146281,PM20D2,6,Amet_Apri
1311.1,1.04,0.28,3.77,0.00016,0.00959,ENSG00000146414,SHPRH,6,Amet_Apri
14168.19,-1.08,0.42,-2.54,0.01108,0.0841,ENSG00000146674,IGFBP3,7,Amet_Apri
193.11,1.3,0.64,2.04,0.04095,0.16292,ENSG00000147408,CSGALNACT1,8,Amet_Apri
622.76,-1.21,0.37,-3.28,0.00105,0.02693,ENSG00000147689,FAM83A,8,Amet_Apri
1208.44,-1.16,0.36,-3.25,0.00114,0.02816,ENSG00000147804,SLC39A4,8,Amet_Apri
52.24,1.2,0.6,2.01,0.04471,,ENSG00000148942,SLC5A12,11,Amet_Apri
1457.91,1.01,0.24,4.29,2e-05,0.00275,ENSG00000149311,ATM,11,Amet_Apri
125.2,1.41,0.52,2.7,0.00699,,ENSG00000149346,SLX4IP,20,Amet_Apri
920.17,-1.18,0.44,-2.69,0.00725,0.06971,ENSG00000149582,TMEM25,11,Amet_Apri
931.33,1.48,0.29,5.04,0,0.00026,ENSG00000150337,FCGR1A,1,Amet_Apri
73.74,1.66,0.54,3.09,0.00197,,ENSG00000150627,WDR17,4,Amet_Apri
31.6,1.62,0.76,2.12,0.03412,,ENSG00000150676,CCDC83,11,Amet_Apri
830.02,-1.02,0.32,-3.16,0.00157,0.03241,ENSG00000150779,TIMM8B,11,Amet_Apri
47.4,-1.34,0.64,-2.09,0.03677,,ENSG00000151572,ANO4,12,Amet_Apri
1638.78,1.16,0.31,3.71,0.00021,0.01095,ENSG00000151835,SACS,13,Amet_Apri
189.67,1,0.39,2.59,0.0096,0.07886,ENSG00000152056,AP1S3,2,Amet_Apri
4407.43,-1.06,0.39,-2.71,0.00671,0.0669,ENSG00000152082,MZT2B,2,Amet_Apri
71.04,1.05,0.52,2.02,0.04314,,ENSG00000152137,HSPB8,12,Amet_Apri
9788.67,1.17,0.24,4.96,0,0.00035,ENSG00000152332,UHMK1,1,Amet_Apri
5949.18,1.1,0.21,5.15,0,0.00023,ENSG00000152926,ZNF117,7,Amet_Apri
765.11,1.17,0.3,3.87,0.00011,0.00773,ENSG00000153246,PLA2R1,2,Amet_Apri
163.01,1.22,0.58,2.1,0.0359,0.15236,ENSG00000154175,ABI3BP,3,Amet_Apri
161.69,1.86,0.55,3.4,0.00067,0.02044,ENSG00000154188,ANGPT1,8,Amet_Apri
46.05,1.39,0.62,2.24,0.02504,,ENSG00000154262,ABCA6,17,Amet_Apri
120.67,1.08,0.42,2.59,0.00951,,ENSG00000154310,TNIK,3,Amet_Apri
409.67,1.09,0.31,3.5,0.00047,0.0168,ENSG00000154678,PDE1C,7,Amet_Apri
61.26,1.2,0.56,2.13,0.03303,,ENSG00000154721,JAM2,21,Amet_Apri
778.29,1.06,0.27,3.94,8e-05,0.00672,ENSG00000155100,OTUD6B,8,Amet_Apri
