baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,DE_comparison,gene_symbol,chr
15.15,-1.72,0.64,-2.69,0.00721,0.02551,ENSG00000100565,Bmet_Apri,LRRC74A,14
1.73,4.89,3.51,1.39,0.16427,0.29303,ENSG00000100604,Bmet_Apri,CHGA,14
56.4,6.53,1.11,5.87,0,0,ENSG00000100628,Bmet_Apri,ASB2,14
10.57,3.85,1.91,2.01,0.04392,0.10789,ENSG00000100678,Bmet_Apri,SLC8A3,14
4.12,-2.51,1.41,-1.78,0.07554,0.16323,ENSG00000100721,Bmet_Apri,TCL1A,14
6.57,-2.71,1.22,-2.22,0.0267,0.07307,ENSG00000100739,Bmet_Apri,BDKRB1,14
410.69,-7.2,1.21,-5.94,0,0,ENSG00000100784,Bmet_Apri,RPS6KA5,14
1518.88,-1.17,0.13,-9.07,0,0,ENSG00000100796,Bmet_Apri,PPP4R3A,14
24.57,-1.85,0.6,-3.07,0.00214,0.00958,ENSG00000100867,Bmet_Apri,DHRS2,14
544.01,1.19,0.54,2.21,0.02681,0.07327,ENSG00000100889,Bmet_Apri,PCK2,14
133.81,1.03,0.5,2.07,0.03831,0.09713,ENSG00000100908,Bmet_Apri,EMC9,14
1248.85,1.3,0.36,3.58,0.00034,0.00214,ENSG00000100911,Bmet_Apri,PSME2,14
37.59,-1.26,0.46,-2.75,0.00588,0.02167,ENSG00000100918,Bmet_Apri,REC8,14
698.22,1.57,2.51,0.63,0.53117,0.66606,ENSG00000100983,Bmet_Apri,GSS,20
9.14,1.21,0.82,1.47,0.141,0.26182,ENSG00000100985,Bmet_Apri,MMP9,20
30.8,-1.5,0.5,-3.01,0.0026,0.01124,ENSG00000101000,Bmet_Apri,PROCR,20
0.81,-3.23,2.98,-1.08,0.27852,,ENSG00000101017,Bmet_Apri,CD40,20
9.56,-1.61,0.79,-2.05,0.04038,0.10122,ENSG00000101076,Bmet_Apri,HNF4A,20
4.76,1.2,0.94,1.28,0.20062,0.33893,ENSG00000101098,Bmet_Apri,RIMS4,20
63.61,-2.38,0.52,-4.54,1e-05,7e-05,ENSG00000101115,Bmet_Apri,SALL4,20
1196.81,-2.03,0.59,-3.46,0.00055,0.00315,ENSG00000101158,Bmet_Apri,NELFCD,20
22.9,1.51,0.75,2.02,0.0439,0.10785,ENSG00000101162,Bmet_Apri,TUBB1,20
1.78,1.6,1.77,0.9,0.36707,0.51988,ENSG00000101180,Bmet_Apri,HRH3,20
196.96,-1.07,0.18,-6.1,0,0,ENSG00000101187,Bmet_Apri,SLCO4A1,20
1.42,-1.46,1.93,-0.76,0.44942,0.59705,ENSG00000101194,Bmet_Apri,SLC17A9,20
