chr,cell_id,mean_reads,mean_copy,clone_id
10,SA919X4XB40509-A98217A-R07-C48,151.08,2.88,A
10,SA919X4XB40509-A98217A-R07-C49,153.79,3.13,A
10,SA919X4XB40509-A98217A-R07-C51,156.06,3,A
10,SA919X4XB40509-A98217A-R07-C52,142.17,2.97,A
10,SA919X4XB40509-A98217A-R07-C54,162.9,3.04,A
10,SA919X4XB40509-A98217A-R07-C57,178.03,2.95,A
10,SA919X4XB40509-A98217A-R07-C58,148.14,3.05,A
10,SA919X4XB40509-A98217A-R07-C59,152.46,3.04,A
10,SA919X4XB40509-A98217A-R07-C62,127.33,3,A
10,SA919X4XB40509-A98217A-R07-C66,171.03,2.96,A
10,SA919X4XB40509-A98217A-R07-C68,150.83,2.79,A
10,SA919X4XB40509-A98217A-R08-C08,180.49,3.07,A
10,SA919X4XB40509-A98217A-R08-C09,178.43,2.96,A
10,SA919X4XB40509-A98217A-R08-C10,164.19,3.04,A
10,SA919X4XB40509-A98217A-R08-C11,158.79,2.82,A
10,SA919X4XB40509-A98217A-R08-C12,162.54,3.05,A
10,SA919X4XB40509-A98217A-R08-C14,177.67,3.01,A
10,SA919X4XB40509-A98217A-R08-C15,172.78,2.96,A
10,SA919X4XB40509-A98217A-R08-C16,194.24,2.95,A
10,SA919X4XB40509-A98217A-R08-C17,202.81,3.07,A
10,SA919X4XB40509-A98217A-R08-C18,163.16,3.05,A
10,SA919X4XB40509-A98217A-R08-C21,167.11,3.1,A
10,SA919X4XB40509-A98217A-R08-C22,166.92,3.08,A
10,SA919X4XB40509-A98217A-R08-C23,180.56,2.99,A
10,SA919X4XB40509-A98217A-R08-C24,215.59,2.98,A
10,SA919X4XB40509-A98217A-R08-C28,170.65,3.07,A
10,SA919X4XB40509-A98217A-R08-C30,175.89,2.92,A
10,SA919X4XB40509-A98217A-R08-C31,204.14,3.01,A
10,SA919X4XB40509-A98217A-R08-C32,196.37,2.96,A
10,SA919X4XB40509-A98217A-R08-C34,169.17,3.02,A
10,SA919X4XB40509-A98217A-R08-C35,200.32,3.03,A
10,SA919X4XB40509-A98217A-R08-C36,101.22,3.03,A
10,SA919X4XB40509-A98217A-R08-C37,219.73,2.95,A
10,SA919X4XB40509-A98217A-R08-C38,197.78,2.9,A
10,SA919X4XB40509-A98217A-R08-C39,181.03,2.99,A
10,SA919X4XB40509-A98217A-R08-C41,246.06,2.99,A
10,SA919X4XB40509-A98217A-R08-C45,127.32,3.1,A
10,SA919X4XB40509-A98217A-R08-C46,176.22,3.01,A
10,SA919X4XB40509-A98217A-R08-C47,184.33,2.98,A
10,SA919X4XB40509-A98217A-R08-C51,176.33,3.06,A
10,SA919X4XB40509-A98217A-R08-C54,167.41,3.02,A
10,SA919X4XB40509-A98217A-R08-C55,185.89,2.97,A
10,SA919X4XB40509-A98217A-R08-C57,190.14,3.04,A
10,SA919X4XB40509-A98217A-R08-C59,140.54,3.02,A
10,SA919X4XB40509-A98217A-R08-C60,163.02,3.02,A
10,SA919X4XB40509-A98217A-R08-C61,188.37,3.06,A
10,SA919X4XB40509-A98217A-R08-C64,205.63,3.08,A
10,SA919X4XB40509-A98217A-R08-C65,142.92,2.99,A
10,SA919X4XB40509-A98217A-R08-C67,147.94,3.07,A
10,SA919X4XB40509-A98217A-R08-C69,166.4,3.02,A
10,SA919X4XB40509-A98217A-R08-C70,152.86,2.97,A
10,SA919X4XB40509-A98217A-R09-C07,166.95,2.93,A
10,SA919X4XB40509-A98217A-R09-C08,152.24,2.91,A
10,SA919X4XB40509-A98217A-R09-C10,135.73,3,A
10,SA919X4XB40509-A98217A-R09-C14,158.06,3.07,A
10,SA919X4XB40509-A98217A-R09-C15,107.48,2,A
10,SA919X4XB40509-A98217A-R09-C16,165.63,3,A
10,SA919X4XB40509-A98217A-R09-C18,138.62,3.04,A
10,SA919X4XB40509-A98217A-R09-C19,134.44,3.05,A
10,SA919X4XB40509-A98217A-R09-C25,145.97,3.01,A
10,SA919X4XB40509-A98217A-R09-C29,108.63,2.84,A
10,SA919X4XB40509-A98217A-R09-C31,166.41,3.03,A
10,SA919X4XB40509-A98217A-R09-C32,151.02,2.99,A
10,SA919X4XB40509-A98217A-R09-C34,109.46,2.88,A
10,SA919X4XB40509-A98217A-R09-C37,128.44,3.02,A
10,SA919X4XB40509-A98217A-R09-C39,156.37,3.08,A
10,SA919X4XB40509-A98217A-R09-C40,144.32,3,A
10,SA919X4XB40509-A98217A-R09-C41,152.1,3.02,A
10,SA919X4XB40509-A98217A-R09-C42,159.13,3,A
10,SA919X4XB40509-A98217A-R09-C47,151.21,2.96,A
10,SA919X4XB40509-A98217A-R09-C48,136.51,3.02,A
10,SA919X4XB40509-A98217A-R09-C51,141.22,3.03,A
10,SA919X4XB40509-A98217A-R09-C52,133.24,3.07,A
10,SA919X4XB40509-A98217A-R09-C54,148.43,2.97,A
10,SA919X4XB40509-A98217A-R09-C55,162.56,3.03,A
10,SA919X4XB40509-A98217A-R09-C56,170.06,3.02,A
10,SA919X4XB40509-A98217A-R09-C59,136.25,2.99,A
10,SA919X4XB40509-A98217A-R09-C63,148.29,2.91,A
10,SA919X4XB40509-A98217A-R09-C65,115.73,2.84,A
10,SA919X4XB40509-A98217A-R09-C67,111.43,3.02,A
10,SA919X4XB40509-A98217A-R10-C07,172.41,2.97,A
10,SA919X4XB40509-A98217A-R10-C10,145.1,3.02,A
10,SA919X4XB40509-A98217A-R10-C15,155.95,3.03,A
10,SA919X4XB40509-A98217A-R10-C16,164.4,3,A
10,SA919X4XB40509-A98217A-R10-C17,165.9,2.98,A
10,SA919X4XB40509-A98217A-R10-C18,142.11,3,A
10,SA919X4XB40509-A98217A-R10-C19,145.73,3.04,A
10,SA919X4XB40509-A98217A-R10-C25,163.7,3,A
10,SA919X4XB40509-A98217A-R10-C26,163.54,2.99,A
10,SA919X4XB40509-A98217A-R10-C27,148.22,3.1,A
10,SA919X4XB40509-A98217A-R10-C32,157.21,2.97,A
10,SA919X4XB40509-A98217A-R10-C33,105.24,2.92,A
10,SA919X4XB40509-A98217A-R10-C34,116.92,2.98,A
10,SA919X4XB40509-A98217A-R10-C35,168.44,2.98,A
10,SA919X4XB40509-A98217A-R10-C37,140.3,3.03,A
10,SA919X4XB40509-A98217A-R10-C38,149.56,3.16,A
10,SA919X4XB40509-A98217A-R10-C40,151.89,2.96,A
10,SA919X4XB40509-A98217A-R10-C42,169.89,2.99,A
10,SA919X4XB40509-A98217A-R10-C43,153.79,2.89,A
10,SA919X4XB40509-A98217A-R10-C44,128.51,3.03,A
10,SA919X4XB40509-A98217A-R10-C48,199.94,2.98,A
10,SA919X4XB40509-A98217A-R10-C49,145.21,3.03,A
10,SA919X4XB40509-A98217A-R10-C50,136.33,3.01,A
10,SA919X4XB40509-A98217A-R10-C51,151.05,2.97,A
10,SA919X4XB40509-A98217A-R10-C55,148.63,2.92,A
10,SA919X4XB40509-A98217A-R10-C56,163.35,2.97,A
10,SA919X4XB40509-A98217A-R10-C57,166.79,2.99,A
10,SA919X4XB40509-A98217A-R10-C59,158.63,3.22,A
10,SA919X4XB40509-A98217A-R10-C60,143.14,2.96,A
10,SA919X4XB40509-A98217A-R10-C61,161.29,3.05,A
10,SA919X4XB40509-A98217A-R10-C65,120.71,3.01,A
10,SA919X4XB40509-A98217A-R10-C70,135.49,3.02,A
10,SA919X4XB40509-A98217A-R11-C09,157.75,2.99,A
10,SA919X4XB40509-A98217A-R11-C11,137.62,2.97,A
10,SA919X4XB40509-A98217A-R11-C12,120.83,3.08,A
10,SA919X4XB40509-A98217A-R11-C19,141.59,2.98,A
10,SA919X4XB40509-A98217A-R11-C25,150.46,3.09,A
10,SA919X4XB40509-A98217A-R11-C28,149.83,3.04,A
10,SA919X4XB40509-A98217A-R11-C29,134.92,3.12,A
10,SA919X4XB40509-A98217A-R11-C31,178.65,3.07,A
10,SA919X4XB40509-A98217A-R11-C48,144.81,2.97,A
10,SA919X4XB40509-A98217A-R11-C54,141.92,3.04,A
10,SA919X4XB40509-A98217A-R11-C58,143.56,2.97,A
10,SA919X4XB40509-A98217A-R11-C59,144.87,2.98,A
10,SA919X4XB40509-A98217A-R11-C63,160.84,3.05,A
10,SA919X4XB40509-A98217A-R11-C66,175.48,3.16,A
10,SA919X4XB40509-A98217A-R11-C67,161.71,3.1,A
10,SA919X4XB40509-A98217A-R12-C10,151.24,2.99,A
10,SA919X4XB40509-A98217A-R12-C21,150.29,3.04,A
10,SA919X4XB40509-A98217A-R12-C26,162.33,2.91,A
10,SA919X4XB40509-A98217A-R12-C28,163.14,3.06,A
10,SA919X4XB40509-A98217A-R12-C30,160.25,3.01,A
10,SA919X4XB40509-A98217A-R12-C31,172.29,3.05,A
10,SA919X4XB40509-A98217A-R12-C41,174.71,3.11,A
10,SA919X4XB40509-A98217A-R12-C43,180.84,2.92,A
10,SA919X4XB40509-A98217A-R12-C48,128.37,3,A
10,SA919X4XB40509-A98217A-R12-C59,162.67,3.06,A
10,SA919X4XB40509-A98217A-R12-C66,178.21,2.98,A
10,SA919X4XB40509-A98217A-R12-C69,111.87,2.83,A
10,SA919X4XB40509-A98217A-R13-C15,158.86,2.97,A
10,SA919X4XB40509-A98217A-R13-C44,157.52,3.06,A
