chr,cell_id,total_reads,total_copy,clone_id
10,SA919X4XB40509-A98217A-R10-C26,10303,188.383813468377,A
10,SA919X4XB40509-A98217A-R10-C27,9338,195.568503399229,A
10,SA919X4XB40509-A98217A-R10-C32,9904,187.287445116771,A
10,SA919X4XB40509-A98217A-R10-C33,6630,184.141224804024,A
10,SA919X4XB40509-A98217A-R10-C34,7366,188.032996847056,A
10,SA919X4XB40509-A98217A-R10-C35,10612,187.992961956129,A
10,SA919X4XB40509-A98217A-R10-C37,8839,190.616724606909,A
10,SA919X4XB40509-A98217A-R10-C38,9422,199.299423235646,A
10,SA919X4XB40509-A98217A-R10-C40,9569,186.609008222987,A
10,SA919X4XB40509-A98217A-R10-C42,10703,188.140295587084,A
10,SA919X4XB40509-A98217A-R10-C43,9689,182.146851460272,A
10,SA919X4XB40509-A98217A-R10-C44,8096,191.052031556967,A
10,SA919X4XB40509-A98217A-R10-C48,12596,187.967971928998,A
10,SA919X4XB40509-A98217A-R10-C49,9148,190.945449331576,A
10,SA919X4XB40509-A98217A-R10-C50,8589,189.412492362708,A
10,SA919X4XB40509-A98217A-R10-C51,9516,187.347797172163,A
10,SA919X4XB40509-A98217A-R10-C55,9364,184.095696246659,A
10,SA919X4XB40509-A98217A-R10-C56,10291,187.299638642016,A
10,SA919X4XB40509-A98217A-R10-C57,10508,188.301794294342,A
10,SA919X4XB40509-A98217A-R10-C59,9994,202.745407499726,A
10,SA919X4XB40509-A98217A-R10-C60,9018,186.756320589671,A
10,SA919X4XB40509-A98217A-R10-C61,10161,192.015121298266,A
10,SA919X4XB40509-A98217A-R10-C65,7605,189.474664364636,A
10,SA919X4XB40509-A98217A-R10-C70,8536,189.947880713396,A
10,SA919X4XB40509-A98217A-R11-C09,9938,188.385714353885,A
10,SA919X4XB40509-A98217A-R11-C11,8670,187.355199831645,A
10,SA919X4XB40509-A98217A-R11-C12,7612,194.031257120261,A
10,SA919X4XB40509-A98217A-R11-C19,8920,188.032991121496,A
10,SA919X4XB40509-A98217A-R11-C25,9479,194.448140107806,A
10,SA919X4XB40509-A98217A-R11-C28,9439,191.541815815709,A
10,SA919X4XB40509-A98217A-R11-C29,8500,196.482899838266,A
10,SA919X4XB40509-A98217A-R11-C31,11255,193.508545657951,A
10,SA919X4XB40509-A98217A-R11-C48,9123,187.151779371796,A
10,SA919X4XB40509-A98217A-R11-C54,8941,191.220146006843,A
10,SA919X4XB40509-A98217A-R11-C58,9044,187.206451472138,A
10,SA919X4XB40509-A98217A-R11-C59,9127,187.978678673915,A
10,SA919X4XB40509-A98217A-R11-C63,10133,191.836751819724,A
10,SA919X4XB40509-A98217A-R11-C66,11055,198.979809081221,A
10,SA919X4XB40509-A98217A-R11-C67,10188,195.550913317883,A
10,SA919X4XB40509-A98217A-R12-C10,9528,188.422040650208,A
10,SA919X4XB40509-A98217A-R12-C21,9468,191.474645298259,A
10,SA919X4XB40509-A98217A-R12-C26,10227,183.088571580501,A
10,SA919X4XB40509-A98217A-R12-C28,10278,192.529549732893,A
10,SA919X4XB40509-A98217A-R12-C30,10096,189.85603195695,A
