baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,symbol,chr,copy_number_state_cloneA,copy_number_state_cloneB,copy_number_state_cloneC,gene_type,description
1255.9,-1.4,0.34,-4.12,3.82164901240234e-05,0.000508998815483445,ENSG00000120341,SEC16B,1,5,5,5,trans_gene,B Primary vs. A Primary
2497.24,-1.34,0.33,-4.12,3.80159445007211e-05,0.000507287646143272,ENSG00000120733,KDM3B,5,2,2,2,trans_gene,B Primary vs. A Primary
142.59,-1.75,0.39,-4.44,9.02414328909888e-06,0.00016413680778286,ENSG00000120833,SOCS2,12,2,2,2,trans_gene,B Primary vs. A Primary
202686.72,-1.06,0.18,-5.89,3.97645136287653e-09,2.94634117297767e-07,ENSG00000120885,CLU,8,2,2,2,trans_gene,B Primary vs. A Primary
804.3,-1.25,0.36,-3.51,0.000456429072957008,0.00355595378477519,ENSG00000120896,SORBS3,8,2,2,2,trans_gene,B Primary vs. A Primary
52.46,-1.72,0.61,-2.82,0.00473245339606053,0.0211974161341839,ENSG00000121068,TBX2,17,2,2,2,trans_gene,B Primary vs. A Primary
572.16,-1.04,0.23,-4.46,8.09252188518304e-06,0.000151096184482237,ENSG00000121104,FAM117A,17,2,2,2,trans_gene,B Primary vs. A Primary
2205.28,-1.23,0.22,-5.49,4.01229547661023e-08,2.11552759813334e-06,ENSG00000121310,ECHDC2,1,2,2,2,trans_gene,B Primary vs. A Primary
249.04,2.08,0.33,6.28,3.41713987903659e-10,3.72918567574241e-08,ENSG00000121552,CSTA,3,2,2,2,trans_gene,B Primary vs. A Primary
86.94,-1.12,0.49,-2.29,0.0217744926305186,0.0658945200456667,ENSG00000121577,POPDC2,3,2,2,2,trans_gene,B Primary vs. A Primary
332.64,-1.66,0.38,-4.42,9.68444651364898e-06,0.000174190958355959,ENSG00000121653,MAPK8IP1,11,2,2,2,trans_gene,B Primary vs. A Primary
551.38,-1.04,0.31,-3.39,0.000700644077513207,0.00496384455903747,ENSG00000121671,CRY2,11,2,2,2,trans_gene,B Primary vs. A Primary
69.45,-1.19,0.53,-2.25,0.0244173879003735,0.0715645139233923,ENSG00000121903,ZSCAN20,1,1,1,1,trans_gene,B Primary vs. A Primary
294.66,-1.11,0.36,-3.11,0.00187170414173239,0.0106121026610184,ENSG00000121966,CXCR4,2,2,2,2,trans_gene,B Primary vs. A Primary
241.76,-1.18,0.38,-3.13,0.00173297111090397,0.0100439390645489,ENSG00000122176,FMOD,1,4,4,4,trans_gene,B Primary vs. A Primary
1577.7,-1.03,0.19,-5.3,1.12733900791298e-07,4.89835757820955e-06,ENSG00000122386,ZNF205,16,3,3,3,trans_gene,B Primary vs. A Primary
11167.11,1.1,0.16,6.85,7.2028047874883e-12,1.16552972181908e-09,ENSG00000122565,CBX3,7,2,3,3,cis_gene,B Primary vs. A Primary
175.08,-1.31,0.41,-3.21,0.00131859515270531,0.0081575138739755,ENSG00000123191,ATP7B,13,2,2,2,trans_gene,B Primary vs. A Primary
321.17,-1.09,0.3,-3.64,0.000276748774320025,0.00239169382742622,ENSG00000123342,MMP19,12,2,2,2,trans_gene,B Primary vs. A Primary
2744.87,-1.07,0.27,-3.93,8.64341957395611e-05,0.000983686829120081,ENSG00000123384,LRP1,12,2,2,2,trans_gene,B Primary vs. A Primary
35.47,-1.51,0.72,-2.1,0.0356102331015762,0.095299036928834,ENSG00000123453,SARDH,9,3,3,3,trans_gene,B Primary vs. A Primary
59.87,-1.71,0.63,-2.7,0.00687175828597375,0.0279193688744411,ENSG00000123500,COL10A1,6,3,3,3,trans_gene,B Primary vs. A Primary
1899.83,-1.04,0.18,-5.67,1.38809337188288e-08,8.31556531462433e-07,ENSG00000123815,COQ8B,19,2,2,2,trans_gene,B Primary vs. A Primary
1857.89,1.32,0.21,6.2,5.76749792297887e-10,5.7584989900494e-08,ENSG00000123975,CKS2,9,3,3,3,trans_gene,B Primary vs. A Primary
526.4,-1.13,0.24,-4.75,2.08283746619059e-06,5.07304253443445e-05,ENSG00000124104,SNX21,20,2,2,2,trans_gene,B Primary vs. A Primary
522.33,-1.44,0.25,-5.68,1.32565065167934e-08,8.04491129040242e-07,ENSG00000124126,PREX1,20,2,2,2,trans_gene,B Primary vs. A Primary
589.55,-1.09,0.3,-3.66,0.000249035002319731,0.00220691606398084,ENSG00000124134,KCNS1,20,2,2,2,trans_gene,B Primary vs. A Primary
1953.19,-1.03,0.22,-4.62,3.92198125515809e-06,8.45073504508912e-05,ENSG00000124181,PLCG1,20,2,2,2,trans_gene,B Primary vs. A Primary
27.44,-4.65,1.59,-2.93,0.00341629318066963,,ENSG00000124208,TMEM189-UBE2V1,20,2,2,2,trans_gene,B Primary vs. A Primary
160.06,1.28,0.38,3.35,0.000810775926678167,0.00558966870508091,ENSG00000124343,XG,X,2,2,2,trans_gene,B Primary vs. A Primary
126.6,-2.36,0.53,-4.47,7.92986490979746e-06,0.00014904758104156,ENSG00000124440,HIF3A,19,2,2,2,trans_gene,B Primary vs. A Primary
41.46,-2.18,0.7,-3.12,0.00182490232593489,0.0104054171504704,ENSG00000124490,CRISP2,6,3,3,3,trans_gene,B Primary vs. A Primary
100.08,-1.3,0.45,-2.88,0.00403492457269389,0.0188049719133622,ENSG00000124507,PACSIN1,6,3,3,3,trans_gene,B Primary vs. A Primary
1624.05,-1.05,0.21,-5.1,3.38533632164442e-07,1.20961331817539e-05,ENSG00000124508,BTN2A2,6,3,3,3,trans_gene,B Primary vs. A Primary
