ens_gene_id,logFC,logCPM,F,PValue,FDR
ENSG00000151247,0.162089129015045,5.77005599078706,0.817446211330211,0.379605251276702,0.445906752904605
ENSG00000070831,0.201946471724924,7.19232480325368,0.817216214897997,0.379670635446296,0.44595014249581
ENSG00000108641,-0.253581526275803,2.40235142928683,0.815902050681228,0.380044553082276,0.446355892918104
ENSG00000168807,0.315032360620188,0.562710166325916,0.815464234288916,0.380169246545917,0.446468894906011
ENSG00000144119,0.337888567799272,2.94211180745068,0.814563957231503,0.380425844368727,0.446736776192399
ENSG00000138385,0.199275256576443,6.73679956067578,0.814166737620482,0.380539142517938,0.44683635212746
ENSG00000015153,-0.218624488726622,3.19597239592951,0.813897473690766,0.380615972788654,0.446893095072479
ENSG00000002587,0.301232200174908,1.28250425340939,0.813742505817003,0.380660200964387,0.446911553247862
ENSG00000049192,-0.50258350125099,-0.531434189083412,0.813434468586425,0.380748138275541,0.446976708241911
ENSG00000127533,0.305044906379574,1.0533906534172,0.813348378224197,0.380772720454853,0.446976708241911
ENSG00000197780,0.226706142566979,3.8981347350057,0.812991719803623,0.380874585704942,0.447062809231534
ENSG00000182759,0.524801033109748,-1.04559000105994,0.812245421325591,0.38108786788507,0.447279666454612
ENSG00000172348,-0.354855997315007,-0.26892652801591,0.81189599274283,0.381187791283334,0.447363452908282
ENSG00000229453,0.442978746748092,0.214182510894179,0.811369900360722,0.381338307751332,0.447506598594029
ENSG00000171310,-0.248769944198814,1.51111625853023,0.810154225734493,0.381686455668245,0.447881629155021
ENSG00000157510,0.398030542752699,-0.315100754998075,0.809841245738489,0.381776164595816,0.44792906131826
ENSG00000183072,0.242841769551315,3.96412193070921,0.809813836772334,0.381784022283255,0.44792906131826
ENSG00000105639,-0.437169694324209,-0.0221305130916886,0.80939184666469,0.381905030256472,0.448037503504506
ENSG00000121542,0.232182719615107,4.23504547964902,0.807650471104094,0.382404986721403,0.448590465192415
ENSG00000114978,0.214898246115514,6.18980381793063,0.807150680671183,0.382548659638841,0.448725427396791
ENSG00000198856,-0.208939739996173,6.15593398709295,0.806184738667651,0.382826564563109,0.44901781031392
ENSG00000146592,-0.438887905134271,-0.6042709656519,0.804750969608923,0.383239622789675,0.449468659121249
ENSG00000174851,0.160446847487155,6.25554844301527,0.803866686587588,0.383494711158509,0.449734185131055
ENSG00000122958,-0.205120917046059,5.69742464955546,0.80369181706831,0.383545185753507,0.449759733492238
